ISIN,Stock,Date,Close,LogReturn
AT0000758305,palfinger-ag,2024-10-02,22.1,0.006810469002526879
AT0000831706,wienerberger-ag,2024-10-03,28.2,-0.03553142837848554
AT0000821103,uniqa-insurance-group-ag,2024-10-03,7.26,-0.0068634449249824
AT0000743059,omv-ag,2024-10-03,39.42,0.0035578182383089792
AT0000938204,mayr-melnhof-karton-ag,2024-10-03,87.0,-0.013698844358161915
AT00000VIE62,flughafen-wien-ag,2024-10-03,51.8,0.011650617219975054
AT0000746409,verbund-ag-kat-a,2024-10-03,73.6,0.0013596195160394302
AT0000937503,voestalpine-ag,2024-10-03,22.06,-0.02329854489615957
AT0000652011,erste-group-bank-ag,2024-10-03,48.48,0.0006190034242837364
AT0000741053,evn-ag,2024-10-03,27.1,0.009267906930781456
AT0000922554,rosenbauer-international-ag,2024-10-03,34.8,-0.011428695823622968
AT0000785555,semperit-ag-holding,2024-10-03,11.32,0.017825783952600666
AT0000644505,lenzing-ag,2024-10-03,34.8,-0.011428695823622968
AT0000999982,ATX,2024-10-03,3583.64,-0.008170479597209667
AT0000908504,vienna-insurance-group-ag,2024-10-03,29.05,-0.0017196908795265881
AT0000641352,ca-immobilien-anlagen-ag,2024-10-03,26.82,0.0014925375905060505
AT0000758305,palfinger-ag,2024-10-03,21.85,-0.011376686982107934
AT0000A21KS2,immofinanz-ag,2024-10-03,17.96,-0.011074310299093665
AT0000641352,ca-immobilien-anlagen-ag,2024-10-04,26.8,-0.0007459903367214449
AT0000644505,lenzing-ag,2024-10-04,34.5,-0.008658062743114541
AT0000937503,voestalpine-ag,2024-10-04,22.0,-0.0027235604670404925
AT0000922554,rosenbauer-international-ag,2024-10-04,35.5,0.019915309700941516
AT0000938204,mayr-melnhof-karton-ag,2024-10-04,87.9,0.010291686036547724
AT0000908504,vienna-insurance-group-ag,2024-10-04,29.1,0.001719690879526679
AT0000999982,ATX,2024-10-04,3609.24,0.007118180226192259
AT0000758305,palfinger-ag,2024-10-04,21.85,0.0
AT0000831706,wienerberger-ag,2024-10-04,28.6,0.014084739881739023
AT0000743059,omv-ag,2024-10-04,39.84,0.010598130991823284
AT00000VIE62,flughafen-wien-ag,2024-10-04,51.0,-0.015564516541111573
AT0000741053,evn-ag,2024-10-04,27.35,0.009182800982334982
AT0000785555,semperit-ag-holding,2024-10-04,11.4,0.007042282625412951
AT0000821103,uniqa-insurance-group-ag,2024-10-04,7.35,0.012320484388040657
AT0000652011,erste-group-bank-ag,2024-10-04,48.58,0.0020605818129674656
AT0000A21KS2,immofinanz-ag,2024-10-04,17.94,-0.0011142062434034647
AT0000746409,verbund-ag-kat-a,2024-10-04,73.75,0.0020359694850987584
